gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4035561553,1e4180fe-8864-4c82-afaf-ad8a82cd76db,http://arctos.database.museum/guid/UMZM:Mamm:16408?seid=4130971,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,8 mi E of Blue Lake CA15 T6N R2E Sec36,California,PRESENT,NA,73426bcb-4e2c-4927-85c6-6f6ca5ff1e1c,40.860835,-123.901354,1132,NA,NA,NA,NA,NA,1977-03-17,17,3,1977,2437931,2437931,PRESERVED_SPECIMEN,UMZM,Mamm,UMZM:Mamm:16408,,unknown,2018-08-27T00:00:00Z,CC_BY_4_0,,Collector(s): unknown,,Uncertain,2024-01-30T14:28:41Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3961332623,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/137287408,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,,Oregon,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.19628,-123.656748,27537,NA,NA,NA,NA,NA,2022-10-01T12:51:34,1,10,2022,2437931,2437931,HUMAN_OBSERVATION,iNaturalist,Observations,137287408,,Janice Reid,2022-10-02T15:29:01Z,CC_BY_NC_4_0,Janice Reid,Janice Reid,,,2024-02-23T14:26:45Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3784893719,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/116922743,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,,Oregon,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.546176,-124.088474,27474,NA,NA,NA,NA,NA,2021-09-28T18:02:55,28,9,2021,2437931,2437931,HUMAN_OBSERVATION,iNaturalist,Observations,116922743,,Lex,2022-05-28T18:14:24Z,CC_BY_NC_4_0,Lex,Lex,,,2024-02-23T15:05:35Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3712484821,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/108095340,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,,Oregon,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.048716,-123.798917,54185,NA,NA,NA,NA,NA,2012-01-28T21:57,28,1,2012,2437931,2437931,HUMAN_OBSERVATION,iNaturalist,Observations,108095340,,chickenofthewoods,2022-03-08T04:29:17Z,CC_BY_NC_4_0,chickenofthewoods,chickenofthewoods,,,2024-02-23T14:19:41Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3466087633,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/81945928,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,,Oregon,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.659454,-122.62927,27443,NA,NA,NA,NA,NA,2021-06-05T22:29:05,5,6,2021,2437931,2437931,HUMAN_OBSERVATION,iNaturalist,Observations,81945928,,petrelharp,2021-06-06T23:08:22Z,CC_BY_NC_4_0,petrelharp,petrelharp,,,2024-02-23T14:25:42Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3356351787,1da75725-1eb5-4e17-b586-ffad7b783987,http://arctos.database.museum/guid/BYU:Mamm:26816?seid=4817334,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,Marmot,Oregon,PRESENT,NA,fd70f580-4ce2-11db-b80e-b8a03c50a862,45.396509,-122.11564,1841,NA,NA,NA,NA,NA,1905-07-12,12,7,1905,2437931,2437931,PRESERVED_SPECIMEN,BYU,Mamm,BYU:Mamm:26816,,William Bebb,1905-07-12T00:00:00Z,CC0_1_0,,Collector(s): William Bebb; Preparator(s): William Bebb,,,2024-02-01T01:02:20Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
3356326511,1da75725-1eb5-4e17-b586-ffad7b783987,http://arctos.database.museum/guid/BYU:Mamm:31961?seid=4817335,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,Marmont,Oregon,PRESENT,NA,fd70f580-4ce2-11db-b80e-b8a03c50a862,45.395889,-122.115397,652,NA,NA,NA,NA,NA,1905-07-12,12,7,1905,2437931,2437931,PRESERVED_SPECIMEN,BYU,Mamm,BYU:Mamm:31961,,unknown,1905-07-12T00:00:00Z,CC0_1_0,,Collector(s): unknown; Preparator(s): unknown,,,2024-02-01T01:02:11Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
3109288148,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/75382040,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,,Oregon,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.544751,-123.457539,27474,NA,NA,NA,NA,NA,2021-04-26T15:29:36,26,4,2021,2437931,2437931,HUMAN_OBSERVATION,iNaturalist,Observations,75382040,,Matt D'Agrosa,2021-04-27T01:21:16Z,CC_BY_4_0,Matt D'Agrosa,Matt D'Agrosa,,,2024-02-23T14:52:45Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2381404337,a9ae9ece-e753-4fb9-8595-a37d0f5aa59c,urn:catalog:SDNHM:Mammals:16464,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,Marshfield,Oregon,PRESENT,NA,8a471700-4ce8-11db-b80e-b8a03c50a862,43.3625,-124.211,NA,NA,NA,NA,NA,NA,1925-03-13,13,3,1925,2437931,2437931,PRESERVED_SPECIMEN,SDNHM,Mammals,16464,,,NA,CC0_1_0,,S. G. Jewett,,Native,2024-02-01T00:21:34Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH
2381403494,a9ae9ece-e753-4fb9-8595-a37d0f5aa59c,urn:catalog:SDNHM:Mammals:16458,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,Agness,Oregon,PRESENT,NA,8a471700-4ce8-11db-b80e-b8a03c50a862,42.5569,-124.0633,NA,NA,NA,NA,NA,NA,1921-05-23,23,5,1921,2437931,2437931,PRESERVED_SPECIMEN,SDNHM,Mammals,16458,,,NA,CC0_1_0,,S. G. Jewett,,Native,2024-02-01T00:21:34Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH
