gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
897050103,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42268?seid=844340,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,Cape Horn; 13.0 km NNE of Tidewater,Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.516,-123.802,1200,NA,NA,NA,NA,NA,1995-01-01/1995-12-31,NA,NA,1995,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42268,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:16Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050099,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42294?seid=1073584,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"Moon; 15 km NE of Beaver, 14 km NNE of Mt Hebo",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,45.335,-123.65,1200,NA,NA,NA,NA,NA,1996-05-18,18,5,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42294,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:20Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050093,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42285?seid=394630,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"Fan; 25 km ENE of Beaver, 19 km NE of Mt Hebo",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,45.311,-123.519,1200,NA,NA,NA,NA,NA,1996-05-17,17,5,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42285,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:16Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050092,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42276?seid=721493,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"Upper Camp; 4.0 km N of Paris, 13.0 km E of Prairie Mtn",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.285,-123.756,1200,NA,NA,NA,NA,NA,1996-04-24,24,4,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42276,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:16Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050080,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42267?seid=1637277,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,Cape Horn; 13.0 km NNE of Tidewater,Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.516,-123.802,1200,NA,NA,NA,NA,NA,1995-01-01/1995-12-31,NA,NA,1995,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42267,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:21Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050069,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42284?seid=1644652,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"Little Lobster; 11.0 km S of Alsea, 2.0 km NW of Prairie Mtn",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.29,-123.62,1200,NA,NA,NA,NA,NA,1996-06-01/1996-08-31,NA,NA,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42284,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:20Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050068,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42293?seid=92669,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"Wilkinson; 11.5 km SW of Alsea, 11.5 km NW of Prairie Mtn",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.32,-123.727,1200,NA,NA,NA,NA,NA,1996-06-01/1996-08-31,NA,NA,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42293,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:14Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050067,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42275?seid=1232040,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,8.5 km N of Tidewater,Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.486,-123.914,1200,NA,NA,NA,NA,NA,1995-01-01/1995-12-31,NA,NA,1995,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42275,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:20Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050053,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42266?seid=392309,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,Boulder; 3.0 km NNE of Tidewater,Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.435,-123.875,1200,NA,NA,NA,NA,NA,1995-01-01/1995-12-31,NA,NA,1995,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42266,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:17Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050048,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42274?seid=1706420,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,Lower Flynn; 10.5 km SSE of Elk City,Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.527,-123.853,1200,NA,NA,NA,NA,NA,1995-05-14,14,5,1995,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42274,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:20Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050047,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42283?seid=1194071,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"East Fork; 8.0 km NNW of Blachly, 2.5 km SE of Prairie Mtn",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.259,-123.581,1200,NA,NA,NA,NA,NA,1996-05-20,20,5,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42283,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:20Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050046,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42292?seid=201719,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"East Fork; 8.0 km NNW of Blachly, 2.5 km SE of Prairie Mtn",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.259,-123.581,1200,NA,NA,NA,NA,NA,1996-05-20,20,5,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42292,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:17Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050029,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42265?seid=299227,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,Boulder; 3.0 km NNE of Tidewater,Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.435,-123.875,1200,NA,NA,NA,NA,NA,1995-01-01/1995-12-31,NA,NA,1995,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42265,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:16Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050026,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42282?seid=298750,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"Noname; 4.5 km SW of Paris, 15.0 km WSW of Prairie Mtn",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.225,-123.81,1200,NA,NA,NA,NA,NA,1996-04-29,29,4,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42282,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:16Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
